16, 150, PA5-K-Unknown-SampleReadingsTest.txt 6
  -42.77,   -49.57,   148.52
    3.10,    -9.44,    94.86
  -38.06,     5.17,   140.89
   50.70,   -24.37,   124.90
   40.33,   -59.26,    78.31
   10.20,     4.39,    73.73
   -4.89,   -27.68,   -79.26
   16.58,     8.25,   -42.87
   28.23,     4.17,  -101.49
   14.24,    -3.70,   -59.03
   32.86,    20.47,   -89.39
  -27.60,    19.58,   -85.36
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -45.19,   -45.17,    95.33
    0.67,    -5.04,    41.66
  -40.49,     9.57,    87.70
   48.28,   -19.97,    71.71
   37.91,   -54.86,    25.11
    7.78,     8.79,    20.54
   -5.35,   -25.13,   -76.85
   16.17,    10.45,   -40.15
   27.68,     6.99,   -98.84
   13.81,    -1.34,   -56.43
   32.33,    23.17,   -86.58
  -28.12,    22.16,   -82.42
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -22.98,   -50.48,   117.18
   22.88,   -10.35,    63.52
  -18.28,     4.26,   109.55
   70.48,   -25.28,    93.57
   60.11,   -60.17,    46.97
   29.98,     3.49,    42.39
   -5.61,   -28.13,   -78.83
   15.96,     7.80,   -42.51
   27.57,     3.61,  -101.13
   13.59,    -4.16,   -58.65
   32.26,    19.92,   -89.05
  -28.21,    19.18,   -85.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -85.47,   -54.21,    97.78
  -39.60,   -14.08,    44.12
  -80.76,     0.53,    90.15
    8.00,   -29.01,    74.16
   -2.37,   -63.90,    27.57
  -32.50,    -0.25,    22.99
   -4.36,   -25.78,   -78.26
   17.15,    10.04,   -41.80
   28.31,     6.49,  -100.55
   14.76,    -1.80,   -58.03
   32.93,    22.74,   -88.36
  -27.48,    21.35,   -83.82
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
   -8.24,   -36.09,   126.03
   37.62,     4.03,    72.37
   -3.54,    18.64,   118.40
   85.23,   -10.89,   102.41
   74.85,   -45.79,    55.82
   44.73,    17.87,    51.24
  -10.16,   -29.18,   -78.29
   11.33,     6.76,   -41.93
   22.67,     2.90,  -100.62
    8.96,    -5.15,   -58.11
   27.30,    19.20,   -88.50
  -33.14,    17.99,   -84.15
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -67.36,   -29.32,   126.23
  -21.50,    10.81,    72.56
  -62.66,    25.42,   118.59
   26.11,    -4.12,   102.61
   15.73,   -39.01,    56.01
  -14.39,    24.64,    51.44
  -12.54,   -26.59,   -80.02
    8.92,     8.96,   -43.25
   20.13,     5.89,  -102.01
